,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelswalkingStairs,labelsnonSpecific,labelsshoesOnOff,labelsonTable,labelswalking,labelsrunning,labelssitting,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2021-06-08 20:28:07.688794880,-0.6589983178216666,1.5935201893416668,10.055986841,-0.9321349686526316,-0.3111251345331579,-0.27514548658157895,1,0,0,0,0,0,0,110.0999985,28.203785079285716,-14.851756845,-40.51532745428572
2021-06-08 20:28:07.938794880,-1.5801851713408333,-0.8098458288254168,9.220941444041665,0.19380293116956518,0.053713223252608785,0.29520270148086963,1,0,0,0,0,0,0,118.3000031,25.49995163,-12.495239714679998,-45.914455108800006
2021-06-08 20:28:08.188794880,-0.32318710891304375,-0.1374832675130435,9.904569273086953,0.009198739257916652,-0.40023356093083334,0.9231131858583334,1,0,0,0,0,0,0,146.8000031,22.627583388800005,-22.3430795296,-36.4736073292
2021-06-08 20:28:08.438794880,3.279467512086957,-3.0855448297826085,6.416900137173914,1.0504413354204345,-4.622514994304347,2.6581385110086955,1,0,0,0,0,0,0,146.8000031,6.92471984428,-36.0412389376,-29.2965915684
2021-06-08 20:28:08.688794880,12.3330265997,0.3993022790340001,3.944627997325,0.9170324769554998,-0.40610676763,0.5902323029158499,1,0,0,0,0,0,0,25.39999962,-31.368639143600003,-20.7970956412,-5.590039892240001
2021-06-08 20:28:08.938794880,10.52705224309524,-1.8421600915666667,1.4301958089357143,0.6660686554238096,-1.2104090644157144,-0.25491406950842854,1,0,0,0,0,0,0,,-36.532655334800005,-20.9664315804,0.9476959720464001
2021-06-08 20:28:09.188794880,9.33634526705,0.35294133425499996,1.211366464453955,0.404708663039,0.36665986439385,-0.1678008299315,1,0,0,0,0,0,0,5.099999905,-37.60186340320001,-23.2571035004,3.764431901016
2021-06-08 20:28:09.438794880,7.017281376950001,-0.23297119366199998,-0.007178467465500016,0.1285403378524,-1.7769684493300002,0.26468378704949996,1,0,0,0,0,0,0,,-36.6429431152,-27.4299913008,7.671847829192
2021-06-08 20:28:09.688794880,11.72474119685,-4.9820361795,-3.94758909935,-0.9010473263165,0.108194385505,2.16822853838,1,0,0,0,0,0,0,0.0,-41.377031708,-7.54594379428,16.96727188128
2021-06-08 20:28:09.938794880,6.4740808010999995,-5.24787883745,-3.37621293774,-0.5649330158455,0.39148645421399997,0.59618429544615,1,0,0,0,0,0,0,0.0,-47.3086709596,16.4758557132,6.63679986008
2021-06-08 20:28:10.188794880,5.3660841941,-4.66726036065,-1.443859098915,0.08336114418450001,1.28762704278,0.47389553877850005,1,0,0,0,0,0,0,0.0,-45.330807189999994,19.8850237264,-8.294535832235999
2021-06-08 20:28:10.438794880,8.2028352853,-10.657691907750001,-0.92261258739,-0.78079584115,0.61674328744,1.118787609445,1,0,0,0,0,0,0,0.0,-40.244871216,32.035246963999995,-19.9474877164
2021-06-08 20:28:10.688794880,4.20338180655,-6.17428999247,-1.9372292030450002,-0.52328906959,-0.15184231047050004,1.111490780155,1,0,0,0,0,0,0,0.0,-34.5967590332,42.04510284479999,-20.0553358456
2021-06-08 20:28:10.938794880,1.8293698828,-12.38621850257143,-5.971944071147619,-1.87134810692,-0.6579877775725002,0.7275807812674999,1,0,0,0,0,0,0,,-22.8423036196,49.067911070799994,-0.1942240285519999
2021-06-08 20:28:11.188794880,-0.10737791311549993,-5.13768928055,-4.09079948665,0.8648424017566666,0.8065589419619047,0.2448831262628571,1,0,0,0,0,0,0,0.0,-20.1309752656,47.588295135999985,23.2248958588
2021-06-08 20:28:11.438794880,1.7331812805565001,-10.09738254585,-3.5571402341450002,1.1551054086085002,1.11878095635285,0.6336272291699999,1,0,0,0,0,0,0,0.0,-20.4794075008,53.212982940799996,1.829512002524
2021-06-08 20:28:11.688794880,1.0542178249045997,-11.4714011195,-1.428455305095,-0.29476329179950006,0.215636448145,0.8532250177305001,1,0,0,0,0,0,0,0.0,-16.5793117904,54.4930070496,-6.1004879188
2021-06-08 20:28:11.938794880,-0.982702344446,-8.15100078555,-3.1273593663300003,-0.442990469008,0.4206139251649999,0.2730991193995,1,0,0,0,0,0,0,,-8.317471904800001,54.4934950268,-3.233975961212
2021-06-08 20:28:12.188794880,-2.2546371181029996,-11.85473129705,-5.378257787150001,-1.6513242453149999,-0.35983571632,0.125404557588,1,0,0,0,0,0,0,0.0,-5.955063858039999,53.476503448799996,5.072759874336
2021-06-08 20:28:12.438794880,-1.6596019499299999,-5.114299523749999,-3.44602353575,1.2328141418454999,0.294084209016,0.006151719837099992,1,0,0,0,0,0,0,0.0,-6.309351882800001,51.2580549612,17.485527571600002
2021-06-08 20:28:12.688794880,-1.8119350338904998,-9.7375618218,-3.8517565011499997,1.1448858219934999,0.059866098146150015,-0.29514944208099997,1,0,0,0,0,0,0,0.0,-8.04175189976,52.16280700720001,-1.678231961756
2021-06-08 20:28:12.938794880,-1.2462333270000001,-11.800404253476191,-2.1236300782428574,-0.4069323246505001,0.319549927926,0.16327358917324997,1,0,0,0,0,0,0,0.0,-7.76505588528,50.8930310052,-8.157407818000001
2021-06-08 20:28:13.188794880,-0.862104090225,-7.626494050100002,-2.9955747098600005,-0.34110282759714283,0.6634182511076191,0.28206482956095236,1,0,0,0,0,0,0,0.0,-6.267383861600001,51.4600868228,-6.47722389224
2021-06-08 20:28:13.438794880,-2.0727526973695,-11.60794157875,-5.6989258528499995,-1.37397750927,-0.281121651266,0.1982664996765,1,0,0,0,0,0,0,,-2.32873595244,50.0892951972,-0.7524959633176
2021-06-08 20:28:13.688794880,-1.6950755663300001,-5.23621376755,-3.7791941762500003,0.920421250215,0.2834851372125,-0.06521889306819999,1,0,0,0,0,0,0,0.0,-3.20371993072,46.31803100599999,9.71754386872
2021-06-08 20:28:13.938794880,-1.8864415420699001,-9.532018423299998,-3.6103506088499993,1.2410763565654999,-0.06231613382249999,-0.215683054361,1,0,0,0,0,0,0,0.0,-3.9386479092,44.081527099599995,-6.300079947083999
2021-06-08 20:28:14.188794880,-1.1191829898212,-11.858320474950002,-2.1900907204149997,-0.22730075250449994,-0.04869446890950001,0.12348713996799998,1,0,0,0,0,0,0,0.0,-3.89228789324,41.0700791924,-13.6029996504
2021-06-08 20:28:14.438794880,-1.2442976820295,-7.7595649479999995,-2.9965617046999995,-0.3877581361225,0.536105154814,0.3107551094185,1,0,0,0,0,0,0,0.0,-2.4775759383816,41.630303497599996,-12.22586376112
2021-06-08 20:28:14.688794880,-1.900319946509,-10.993285227300001,-5.422225821,-1.205197978055,-0.08533182275500002,0.20135567188849998,1,0,0,0,0,0,0,,2.720599951712,48.1397352604,-5.3143198925364
2021-06-08 20:28:14.938794880,-2.7050859928,-5.956782424549999,-3.72831677195,0.373936738855,0.1545919414625,-0.17808033097764991,1,0,0,0,0,0,0,0.0,2.2779839422000006,48.3403033456,5.273327870328
2021-06-08 20:28:15.188794880,-1.7087317474714288,-8.872415520190476,-3.469450405619048,1.5792345784039998,-0.26383159049,-0.4314460132271501,1,0,0,0,0,0,0,0.0,-0.37722398741359997,46.02181533839999,-8.024183855656002
2021-06-08 20:28:15.438794880,-1.0181161226789999,-12.402627754150002,-2.03668088769,-0.22792816104952382,0.012009228923809491,0.08940982641666669,1,0,0,0,0,0,0,0.0,-3.3076639366800005,41.8308714288,-16.0229918284
